"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","property_type","last_modified","latitude","longitude","location"
"59",8881329,1129,45391176,"Private room",NA,"New York","Brooklyn","Coney Island",136,5,2,1,NA,50,NA,"Private Room in Oceanview Penthouse_Live in Host","Apartment","2017-04-21 16:15:46.174951",40.577653,-73.983375,"0101000020E61000000E2DB29DEF7E52C0D8B79388F0494440"
"60",16466322,1129,108042864,"Entire home/apt",NA,"New York","Manhattan","East Village",18,5,4,1,NA,195,NA,"Chic and Lofty Home *PRIME LOCATION*","Apartment","2017-04-22 18:45:57.947956",40.727273,-73.985117,"0101000020E6100000F46E2C280C7F52C0C4211B48175D4440"
"61",12558307,1129,26521212,"Entire home/apt",NA,"New York","Manhattan","Midtown",4,4.5,6,2,NA,299,NA,"Luxury 2BR Midtown East-Near UN!","Timeshare","2017-04-22 21:18:03.754373",40.752067,-73.973506,"0101000020E61000006D1D1CEC4D7E52C04EB340BB43604440"
"62",5004463,1129,25807709,"Private room",NA,"New York","Brooklyn","Midwood",14,5,3,1,NA,60,NA,"Spacious Private Room ","Bed & Breakfast","2017-04-21 14:53:47.234615",40.6216,-73.95315,"0101000020E6100000AC8BDB68007D52C0C898BB96904F4440"
"63",640990,1129,3201337,"Private room",NA,"New York","Manhattan","East Harlem",89,4.5,4,1,NA,65,NA,"Cozy E. Harlem Brownstone PH","Apartment","2017-04-21 17:55:12.229822",40.795125,-73.931817,"0101000020E6100000D636C5E3A27B52C0B29DEFA7C6654440"
"64",16578229,1129,16258910,"Entire home/apt",NA,"New York","Manhattan","Morningside Heights",0,NA,3,1,NA,200,NA,"Spacious, quiet, modern 1BR by Columbia U","Apartment","2017-04-22 18:49:22.438202",40.814568,-73.960757,"0101000020E6100000CC99ED0A7D7D52C01F2FA4C343684440"
"65",18041460,1129,124139557,"Private room",NA,"New York","Manhattan","East Village",0,NA,2,0,NA,90,NA,"LES Apartment close to bars/restaurants","Apartment","2017-04-21 22:03:51.332930",40.726045,-73.98749,"0101000020E610000021C84109337F52C05036E50AEF5C4440"
"66",17821491,1129,55056870,"Entire home/apt",NA,"New York","Manhattan","Murray Hill",0,NA,2,1,NA,140,NA,"Lovely One Bedroom","Apartment","2017-04-22 13:19:33.154303",40.745156,-73.973384,"0101000020E6100000C79C67EC4B7E52C087359545615F4440"
"67",2883054,1129,5117939,"Entire home/apt",NA,"New York","Brooklyn","Crown Heights",104,4.5,5,2,NA,100,NA,"Urban Holiday...","Apartment","2017-04-22 07:14:02.465358",40.673352,-73.918806,"0101000020E61000009757AEB7CD7A52C01D59F96530564440"
"68",143979,1129,697469,"Entire home/apt",NA,"New York","Brooklyn","Greenpoint",1,NA,2,1,NA,209,NA,"Greenpoint Brooklyn duplex w/ yard","Apartment","2017-04-22 21:06:12.062055",40.730874,-73.95837,"0101000020E6100000ECDD1FEF557D52C094BF7B478D5D4440"
"69",7619996,1129,16662303,"Private room",NA,"New York","Manhattan","Harlem",2,NA,1,1,NA,50,NA,"Relaxing, cozy corner of Harlem","Apartment","2017-04-21 13:44:35.259257",40.818348,-73.941378,"0101000020E610000021CB82893F7C52C09E5F94A0BF684440"
"70",6960073,1129,2929268,"Entire home/apt",NA,"New York","Manhattan","Lower East Side",41,4.5,2,1,NA,122,NA,"Furnished apt in the LES","Apartment","2017-04-22 12:36:59.748487",40.719781,-73.990635,"0101000020E610000078D15790667F52C01EA4A7C8215C4440"
"71",9420768,1129,48603189,"Private room",NA,"New York","Manhattan","Harlem",8,5,1,1,NA,95,NA,"Come Enjoy My Trendy Harlem","Apartment","2017-04-21 21:49:00.435813",40.82402,-73.945596,"0101000020E61000009ECE15A5847C52C0FD9FC37C79694440"
"72",14884702,1129,6826320,"Entire home/apt",NA,"New York","Brooklyn","Williamsburg",5,5,2,1,NA,98,NA,"Bright, Clean & Quiet One-Bedroom in Williamsburg!","Apartment","2017-04-22 07:32:05.400141",40.722357,-73.957065,"0101000020E61000005CC98E8D407D52C0B284B531765C4440"
"73",16924529,1129,21111822,"Private room",NA,"New York","Brooklyn","Williamsburg",2,NA,2,1,NA,89,NA,"Private Master Bed & Bath in Williamsburg","Apartment","2017-04-21 21:47:30.459032",40.718381,-73.962991,"0101000020E6100000E9D500A5A17D52C0AD889AE8F35B4440"
"74",4726749,1129,11686822,"Private room",NA,"New York","Manhattan","Harlem",0,NA,1,1,NA,75,NA,"Harlem","Apartment","2017-04-21 17:57:19.330236",40.811688,-73.94301,"0101000020E610000043739D465A7C52C01F477364E5674440"
"75",6848001,1129,35883646,"Private room",NA,"New York","Manhattan","Washington Heights",57,4.5,2,1,NA,69,NA,"Big room in uptown prewar apartment","Apartment","2017-04-21 17:54:09.910511",40.839813,-73.944027,"0101000020E6100000A0E238F06A7C52C0B9E00CFE7E6B4440"
